"gene_symbol","go_id","go_description","p_adjusted"
"Cyp3a44","GO:0001523","retinoid metabolic process",6.35748704254127e-36
"Adh4","GO:0001523","retinoid metabolic process",6.35748704254127e-36
"Cyp2c67","GO:0001523","retinoid metabolic process",6.35748704254127e-36
"Cyp2c40","GO:0001523","retinoid metabolic process",6.35748704254127e-36
"Adh7","GO:0001523","retinoid metabolic process",6.35748704254127e-36
"Cyp2c66","GO:0001523","retinoid metabolic process",6.35748704254127e-36
"Cyp2c69","GO:0001523","retinoid metabolic process",6.35748704254127e-36
"Ces2c","GO:0001523","retinoid metabolic process",6.35748704254127e-36
"Ces1e","GO:0001523","retinoid metabolic process",6.35748704254127e-36
"Cyp2c65","GO:0001523","retinoid metabolic process",6.35748704254127e-36
"Cyp2c55","GO:0006721","terpenoid metabolic process",1.54679220082231e-35
"Adh1","GO:0006721","terpenoid metabolic process",1.54679220082231e-35
"Cyp1b1","GO:0006721","terpenoid metabolic process",1.54679220082231e-35
"Gusb","GO:0006721","terpenoid metabolic process",1.54679220082231e-35
"Cyp3a41a","GO:0006721","terpenoid metabolic process",1.54679220082231e-35
"Cyp2c68","GO:0006721","terpenoid metabolic process",1.54679220082231e-35
